run_id,model,regime,family_set,family,seed,n_family,n_normal,n_test,positive_rate,precision,recall,f1,roc_auc,accuracy,balanced_accuracy,macro_f1,notes
phase6-crossera,scratch_mlp,in_distribution,shared,dos,42,4089,37000,41089,0.099516,0.428507,0.927855,0.586263,0.972944,0.869673,0.895549,0.754459,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_mlp,in_distribution,shared,scanning,42,3496,37000,40496,0.08633,0.40302,0.977117,0.570665,0.963165,0.873074,0.92018,0.748097,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,svm,cross_era,shared,backdoor,42,20000,50000,70000,0.285714,0.000373,0.0005,0.000427,0.100279,0.331843,0.23244,0.249321,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,svm,cross_era,shared,dos,42,20000,50000,70000,0.285714,0.055111,0.0781,0.064622,0.180341,0.354014,0.27124,0.285636,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,svm,cross_era,shared,scanning,42,20000,50000,70000,0.285714,0.022627,0.031,0.02616,0.079055,0.340557,0.24769,0.263828,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,svm,in_distribution,shared,backdoor,42,583,37000,37583,0.015512,0.039675,0.953688,0.07618,0.960875,0.641194,0.794979,0.426771,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,svm,in_distribution,shared,dos,42,4089,37000,41089,0.099516,0.2077,0.862803,0.334804,0.898791,0.658814,0.749536,0.552686,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,svm,in_distribution,shared,scanning,42,3496,37000,40496,0.08633,0.201021,0.968535,0.33294,0.846704,0.664955,0.802403,0.554619,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,backdoor,42,9911,25000,34911,0.283893,0.980303,0.999294,0.989707,0.998601,0.994099,0.995667,0.992786,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,ddos,42,9942,25000,34942,0.284529,0.980036,0.982599,0.981316,0.998272,0.989354,0.98732,0.986936,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,dos,42,9893,25000,34893,0.283524,0.98013,0.992217,0.986136,0.998255,0.99209,0.992128,0.990301,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,injection,42,10094,25000,35094,0.287628,0.980582,0.995542,0.988005,0.998413,0.993047,0.993791,0.991555,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,mitm,42,518,25000,25518,0.020299,0.673235,0.791506,0.727595,0.991104,0.987969,0.891773,0.860722,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,password,42,10159,25000,35159,0.288945,0.980711,0.995964,0.988279,0.998579,0.993174,0.994002,0.991732,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,decision_tree,target_frozen_test,native,ransomware,42,9963,25000,34963,0.284958,0.980386,0.998394,0.989308,0.998391,0.993851,0.995217,0.992496,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
