run_id,model,regime,seed,accuracy,precision,recall,f1,roc_auc,notes,balanced_accuracy,macro_f1,n_test,positive_rate
phase7-recovery-f0.01,scratch_mlp,target_frozen_test,42,0.699084,0.92348,0.660374,0.770074,0.884531,"fit on UNSW train fold, head-only refit, both hidden layers frozen at their UNSW weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 1.00% of the pool, n_ft=1055; d=22",0.742067,0.667375,105521,0.76308
phase7-recovery-f0.01,svm,target_frozen_test,42,0.926744,0.991519,0.911799,0.94999,0.984312,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 1.00% of the pool, n_ft=1055; d=22",0.94334,0.906556,105521,0.76308
phase7-recovery-f0.05,decision_tree,target_frozen_test,42,0.984847,0.989554,0.990599,0.990076,0.99202,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 5.00% of the pool, n_ft=5276; d=22",0.978459,0.979021,105521,0.76308
phase7-recovery-f0.05,dummy,target_frozen_test,42,0.76308,0.76308,1.0,0.865622,0.5,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 5.00% of the pool, n_ft=5276; d=22",0.5,0.432811,105521,0.76308
phase7-recovery-f0.05,random_forest,target_frozen_test,42,0.992324,0.992889,0.997082,0.994981,0.998842,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 5.00% of the pool, n_ft=5276; d=22",0.987041,0.989335,105521,0.76308
phase7-recovery-f0.05,scratch_logreg,target_frozen_test,42,0.946788,0.991793,0.938029,0.964162,0.987836,"fit on UNSW train fold, warm-started gradient descent from the UNSW-fitted weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 5.00% of the pool, n_ft=5276; d=22",0.956514,0.930439,105521,0.76308
phase7-recovery-f0.05,scratch_mlp,target_frozen_test,42,0.908511,0.963528,0.91473,0.938495,0.959757,"fit on UNSW train fold, head-only refit, both hidden layers frozen at their UNSW weights; scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 5.00% of the pool, n_ft=5276; d=22",0.901605,0.879988,105521,0.76308
phase7-recovery-f0.05,svm,target_frozen_test,42,0.945366,0.99201,0.935942,0.963161,0.98687,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 5.00% of the pool, n_ft=5276; d=22",0.955831,0.92874,105521,0.76308
phase7-recovery-f0.10,decision_tree,target_frozen_test,42,0.985709,0.993714,0.987519,0.990607,0.994068,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 10.00% of the pool, n_ft=10552; d=22",0.983699,0.980373,105521,0.76308
phase7-recovery-f0.10,dummy,target_frozen_test,42,0.76308,0.76308,1.0,0.865622,0.5,"fit on UNSW train fold, refit on the target sample alone (no incremental interface preserves a fit); scored on the frozen 50% TON_IoT test half (disjoint from the fine-tune pool); budget 10.00% of the pool, n_ft=10552; d=22",0.5,0.432811,105521,0.76308
